country,confirm,heal,dead,healRate,deadRate
乌干达,1040,984,0,94.62,0.00
新加坡,46630,42541,26,91.23,0.06
卡塔尔,104016,100627,149,96.74,0.14
尼泊尔,17061,10328,38,60.54,0.22
卢旺达,1378,710,4,51.52,0.29
巴林,33476,29099,109,86.92,0.33
斯里兰卡,2651,1988,11,74.99,0.41
哥斯达黎加,8036,2304,34,28.67,0.42
乌兹别克斯坦,13993,8074,65,57.70,0.46
阿曼,59568,37987,273,63.77,0.46
