country,confirm,heal,dead,healRate,deadRate
也门,1498,675,424,45.06,28.30
比利时,62781,17223,9787,27.43,15.59
英国,291691,1384,44915,0.47,15.40
意大利,243230,195106,34967,80.21,14.38
法国,209640,78722,30032,37.55,14.33
匈牙利,4258,3106,595,72.95,13.97
荷兰,51361,193,6154,0.38,11.98
墨西哥,304435,240101,35491,78.87,11.66
西班牙,303033,196958,28406,65.00,9.37
加拿大,110046,73420,8836,66.72,8.03
