nation,day,day7,rate
纳米比亚,864,539,60.30
马达加斯加,5343,3472,53.89
哥斯达黎加,8036,5241,53.33
黑山,1287,841,53.03
巴勒斯坦,6764,4647,45.56
津巴布韦,1034,734,40.87
吉尔吉斯斯坦,11444,8141,40.57
南非,287796,205721,39.90
斯威士兰,1389,1011,37.39
利比亚,1512,1117,35.36
