name,continent,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare
越南,亚洲,07.14,False,1,0,373,0,0,352,21,1,-1,2,0
毛里求斯,非洲,07.14,False,0,0,342,0,10,330,2,0,0,0,0
缅甸,亚洲,07.14,False,5,0,336,0,6,261,69,5,5,0,0
科摩罗,非洲,07.14,False,0,0,317,0,7,296,14,0,0,0,0
圭亚那,南美洲,07.14,False,3,0,300,0,17,155,128,3,2,1,0
布隆迪,非洲,07.14,False,0,0,269,0,1,207,61,0,0,0,0
莱索托,非洲,07.14,False,11,0,256,0,3,48,205,11,-4,15,0
蒙古,亚洲,07.14,False,13,0,243,0,0,204,39,13,12,1,0
厄立特里亚,非洲,07.14,False,0,0,232,0,0,107,125,0,0,0,0
柬埔寨,亚洲,07.14,False,9,0,165,0,0,133,32,9,9,0,0
文莱,亚洲,07.14,False,0,0,141,0,3,138,0,0,0,0,0
特立尼达和多巴哥,,07.14,False,0,0,133,0,8,124,1,0,-4,4,0
巴哈马,北美洲,07.14,False,2,0,113,0,11,91,11,2,0,2,0
摩纳哥,欧洲,07.14,False,0,0,109,0,4,97,8,0,0,0,0
巴巴多斯,北美洲,07.14,False,0,0,103,0,7,90,6,0,0,0,0
塞舌尔,非洲,07.14,False,0,0,100,0,0,11,89,0,0,0,0
不丹,亚洲,07.14,False,0,0,84,0,0,78,6,0,-2,2,0
列支敦士登公国,欧洲,07.14,False,0,0,84,0,1,81,2,0,0,0,0
安提瓜和巴布达,北美洲,07.14,False,0,0,74,0,3,57,14,0,0,0,0
冈比亚,非洲,07.14,False,0,0,64,0,3,34,27,0,0,0,0
马提尼克岛,北美洲,03.23,False,0,0,37,0,1,0,36,0,0,0,0
伯利兹,北美洲,07.14,False,0,0,37,0,2,20,15,0,0,0,0
圣文森特和格林纳丁斯,北美洲,07.14,False,0,0,35,0,0,29,6,0,0,0,0
斐济,大洋洲,07.14,False,0,0,26,0,0,18,8,0,0,0,0
东帝汶,亚洲,07.14,False,0,0,24,0,0,24,0,0,0,0,0
格林纳达,北美洲,07.14,False,0,0,23,0,0,23,0,0,0,0,0
圣卢西亚,北美洲,07.14,False,0,0,22,0,0,19,3,0,0,0,0
老挝,亚洲,07.14,False,0,0,19,0,0,19,0,0,0,0,0
多米尼克,北美洲,07.14,False,0,0,18,0,0,18,0,0,0,0,0
圣基茨和尼维斯,北美洲,07.14,False,0,0,17,0,0,15,2,0,0,0,0
梵蒂冈,欧洲,07.14,False,0,0,12,0,0,12,0,0,0,0,0
巴布亚新几内亚,大洋洲,07.14,False,0,0,11,0,0,8,3,0,0,0,0
