,职位名,详细链接,公司名,工作地点,薪资,发布时间
40,项目经理,https://jobs.51job.com/nanjing-pkq/121856186.html?s=01&t=0,江苏连邦信息技术有限公司,南京-浦口区,0.8-1万/月,07-10
41,测试工程师-本部,https://jobs.51job.com/nanjing-yhtq/116167000.html?s=01&t=0,江苏润和软件股份有限公司,南京-雨花台区,1-1.5万/月,07-10
42,客户服务,https://jobs.51job.com/nanjing/123170799.html?s=01&t=0,字节跳动,南京,0.5-1万/月,07-10
43,销售,https://jobs.51job.com/nanjing-jyq/119693440.html?s=01&t=0,南通科迅教育信息咨询有限公司,南京-建邺区,0.8-1万/月,07-10
44,运营行政  带薪培训  社保,https://jobs.51job.com/nanjing-jyq/121592724.html?s=01&t=0,南京易创园科技有限公司,南京-建邺区,3-5千/月,07-10
45,java游戏开发实习生,https://jobs.51job.com/nanjing/109706827.html?s=01&t=0,昆山双宇新信息科技有限公司,南京,6-8千/月,07-10
46,运营经理（车检行业）,https://jobs.51job.com/nanjing/122645496.html?s=01&t=0,多伦科技股份有限公司,南京,0.9-1.5万/月,07-10
47,微信运营专员（双休+绩效+培训）,https://jobs.51job.com/nanjing-jyq/118122032.html?s=01&t=0,杭州八斗信息科技有限公司,南京-建邺区,6-8千/月,07-10
48,政务中心广告策划,https://jobs.51job.com/nanjing/121962466.html?s=01&t=0,文思海辉技术有限公司Pactera Tec...,南京,0.8-1万/月,07-10
49,薪酬绩效主管,https://jobs.51job.com/nanjing-pkq/122122809.html?s=01&t=0,江苏良旭智能科技有限公司,南京-浦口区,6-8千/月,07-10
50,运维工程师,https://jobs.51job.com/nanjing/122418442.html?s=01&t=0,南京博纳睿通软件科技有限公司,南京,4-6千/月,07-10
51,软件测试（大数据测试）,https://jobs.51job.com/nanjing/123368019.html?s=01&t=0,中软国际科技服务有限公司,南京,0.7-1.1万/月,07-10
52,渠道运营专员,https://jobs.51job.com/nanjing-jnq/122805025.html?s=01&t=0,南京鼓楼心田花开教育培训中心有限...,南京-江宁区,0.8-1.5万/月,07-10
53,BI工程师,https://jobs.51job.com/nanjing/122533308.html?s=01&t=0,上海安硕信息技术股份有限公司,南京,0.9-1.5万/月,07-10
54,跨境电商独立站运营 Shopify运营,https://jobs.51job.com/nanjing-yhtq/122111806.html?s=01&t=0,南京优通信息科技股份有限公司,南京-雨花台区,0.8-2万/月,07-10
55,电商运营,https://jobs.51job.com/nanjing-lhq/120201481.html?s=01&t=0,南京梵鼎信息技术有限公司,南京-六合区,4-6千/月,07-10
56,数据与软件研发（实习生）,https://jobs.51job.com/nanjing-qxq/122240449.html?s=01&t=0,上海新朋程数据科技发展有限公司,南京-栖霞区,2-3千/月,07-10
57,跨境电商运营-独立站,https://jobs.51job.com/nanjing-jyq/114469490.html?s=01&t=0,南京达尚英信息科技有限公司,南京-建邺区,4.5-6千/月,07-10
58,销售行业/渠道总监,https://jobs.51job.com/nanjing-jnq/110693991.html?s=01&t=0,南京赛宁信息技术有限公司,南京-江宁区,1.5-3万/月,07-10
59,政府服务业务拓展专员（主管）,https://jobs.51job.com/nanjing-qhq/116087645.html?s=01&t=0,南京易联阳光信息技术股份有限公司...,南京-秦淮区,4.5-8千/月,07-10
60,文案策划,https://jobs.51job.com/nanjing-pkq/120771516.html?s=01&t=0,南京华设科技股份有限公司,南京-浦口区,4.5-6千/月,07-10
61,网管产品软件开发工程师（JAVA）,https://jobs.51job.com/nanjing-jyq/121476309.html?s=01&t=0,华邦（江苏）文化科技发展有限公司...,南京-建邺区,1.2-2万/月,07-10
62,软件技术支持工程师,https://jobs.51job.com/nanjing-xwq/122094219.html?s=01&t=0,南京瑞沃软件有限公司,南京-玄武区,0.5-1万/月,07-10
63,智能硬件产品经理,https://jobs.51job.com/nanjing/122265003.html?s=01&t=0,江苏三棱智慧物联发展股份有限公司...,南京,1-1.5万/月,07-10
64,运营支撑,https://jobs.51job.com/nanjing-jnq/121262406.html?s=01&t=0,南京舜卓信息技术有限公司,南京-江宁区,4-8千/月,07-10
65,产品运营专员,https://jobs.51job.com/nanjing-jnq/121425116.html?s=01&t=0,朗坤智慧科技股份有限公司,南京-江宁区,6-8千/月,07-10
66,大数据高级开发工程师,https://jobs.51job.com/nanjing-qhq/122390106.html?s=01&t=0,江苏普旭软件信息技术有限公司,南京-秦淮区,2-3万/月,07-10
67,产品市场总监/经理,https://jobs.51job.com/nanjing-jnq/118874196.html?s=01&t=0,江苏金智教育信息股份有限公司,南京-江宁区,1.5-2.5万/月,07-10
68,高级销售经理,https://jobs.51job.com/nanjing-xwq/106356797.html?s=01&t=0,江苏瑞德信息产业有限公司,南京-玄武区,1-1.5万/月,07-10
69,大数据开发工程师,https://jobs.51job.com/nanjing-yhtq/123431807.html?s=01&t=0,北京世纪超星信息技术发展有限责任...,南京-雨花台区,1.2-2万/月,07-10
70,SEO专员,https://jobs.51job.com/nanjing-yhtq/122548847.html?s=01&t=0,北大青鸟安德门校区,南京-雨花台区,5-8千/月,07-10
71,高级开发工程师,https://jobs.51job.com/nanjing-qxq/117179865.html?s=01&t=0,上海美慧软件有限公司,南京-栖霞区,1-1.5万/月,07-10
72,数据开发工程师,https://jobs.51job.com/nanjing-xwq/123148464.html?s=01&t=0,江苏盈达信息技术有限公司,南京-玄武区,1.2-1.5万/月,07-10
73,python爬虫/数据开发,https://jobs.51job.com/nanjing-yhtq/121812768.html?s=01&t=0,南京市秦淮区巩向明软件开发工作室...,南京-雨花台区,4.5-6千/月,07-10
