country,confirm,heal,dead,healRate,deadRate
乌干达,1040,984,0,94.62,0.00
新加坡,46630,42737,27,91.65,0.06
卡塔尔,104533,101160,150,96.77,0.14
尼泊尔,17061,10328,38,60.54,0.22
卢旺达,1416,737,4,52.05,0.28
巴林,34078,29753,111,87.31,0.33
斯里兰卡,2665,1988,11,74.60,0.41
哥斯达黎加,8482,2441,37,28.78,0.44
阿曼,59568,37987,273,63.77,0.46
乌兹别克斯坦,14085,8327,67,59.12,0.48
