country,confirm,heal,dead,healRate,deadRate
也门,1516,685,429,45.18,28.30
比利时,62781,17223,9787,27.43,15.59
英国,292931,1385,45053,0.47,15.38
意大利,243344,195441,34984,80.31,14.38
法国,209640,78722,30032,37.55,14.33
匈牙利,4258,3106,595,72.95,13.97
荷兰,51362,193,6154,0.38,11.98
墨西哥,311486,245830,36327,78.92,11.66
西班牙,303699,196958,28409,64.85,9.35
加拿大,110350,73713,8845,66.80,8.02
