country,confirm,heal,dead,healRate,deadRate
荷兰,51362,193,6154,0.38,11.98
英国,292931,1385,45053,0.47,15.38
瑞典,76001,4971,5545,6.54,7.30
洪都拉斯,28579,3123,789,10.93,2.76
危地马拉,30872,4453,1302,14.42,4.22
巴勒斯坦,6764,1084,44,16.03,0.65
利比亚,1563,370,42,23.67,2.69
黑山,1287,330,24,25.64,1.86
委内瑞拉,10010,2671,96,26.68,0.96
赤道几内亚,3071,842,51,27.42,1.66
