country,confirm,heal,dead,healRate,deadRate
冰岛,1905,1882,10,98.79,0.52
马来西亚,8729,8524,122,97.65,1.40
新西兰,1547,1498,22,96.83,1.42
卡塔尔,104533,101160,150,96.77,0.14
泰国,3227,3091,58,95.79,1.80
吉布提,4979,4743,56,95.26,1.12
乌干达,1040,984,0,94.62,0.00
爱沙尼亚,2015,1897,69,94.14,3.42
古巴,2432,2275,87,93.54,3.58
丹麦,13262,12361,610,93.21,4.60
