地区,现有确诊,累计确诊,疑似,死亡,死亡率,治愈,治愈率
辽宁,12,164,0,2,1.22,150,91.46
境外输入,11,33,0,0,0.00,22,66.67
沈阳,2,34,0,0,0.00,32,94.12
铁岭,0,7,0,0,0.00,7,100.00
抚顺,0,1,0,0,0.00,1,100.00
大连,0,18,0,0,0.00,18,100.00
朝阳市,0,6,0,1,16.67,5,83.33
丹东,0,11,0,0,0.00,11,100.00
葫芦岛,0,12,0,1,8.33,11,91.67
辽阳,0,3,0,0,0.00,3,100.00
鞍山,0,4,0,0,0.00,4,100.00
锦州,0,12,0,0,0.00,12,100.00
盘锦,0,11,0,0,0.00,11,100.00
阜新,0,8,0,0,0.00,8,100.00
本溪,0,3,0,0,0.00,3,100.00
营口,0,1,0,0,0.00,1,100.00
地区待确认,-1,0,0,0,0.00,1,0.00
