country,confirm,heal,dead,healRate,deadRate
荷兰,51361,193,6154,0.38,11.98
英国,291691,1384,44915,0.47,15.40
瑞典,76001,4971,5545,6.54,7.30
洪都拉斯,28579,3123,789,10.93,2.76
危地马拉,29742,4321,1244,14.53,4.18
巴勒斯坦,6764,1084,42,16.03,0.62
利比亚,1512,367,40,24.27,2.65
黑山,1287,330,24,25.64,1.86
赤道几内亚,3071,842,51,27.42,1.66
比利时,62781,17223,9787,27.43,15.59
