深圳市比洋光通信科技股份有限公司...,数据产品经理,深圳-龙华新区,0.8-1.5万/月,09-03
北京佰信蓝图科技有限公司,数据产品经理,北京-昌平区,0.5-1万/月,09-03
上海微创软件股份有限公司,数据产品经理,成都,0.9-1.2万/月,09-03
香港亮点摄影器材股份有限公司,数据产品经理,深圳-福田区,5-7千/月,09-03
赛尔富电子有限公司,数据产品经理,宁波,0.7-1万/月,09-03
贝泰妮集团,数据产品经理,昆明,4.5-6千/月,09-03
成都环宇世纪商务咨询有限公司,数据产品经理,成都-高新区,0.8-1万/月,09-03
山东易华录信息技术有限公司,数据产品经理,济南,1-2万/月,09-03
移动设计院福建分公司,数据产品经理,福州,,09-03
广东银雁服务外包有限公司,数据产品经理,广州-天河区,3.8-4.2千/月,09-03
广州市金匙房地产物业服务有限公司...,数据产品经理,广州-越秀区,3.5-3.7千/月,09-03
上海宜硕网络科技有限公司,数据产品经理,上海-徐汇区,0.7-1.2万/月,09-03
上海宝信软件股份有限公司,数据产品经理,上海-浦东新区,2-4万/月,09-03
郑州苕麟厮信息科技有限公司,数据产品经理,郑州,4.5-6千/月,09-03
东莞市乐其网络科技有限公司广州分...,数据产品经理,广州-天河区,6-8千/月,09-03
广东集成数据有限公司,数据产品经理,异地招聘,0.6-1.2万/月,09-03
驴妈妈旅游网,数据产品经理,上海-嘉定区,1.2-2万/月,09-03
佳亨（浙江）金属科技有限公司,数据产品经理,嘉兴,3-4.5千/月,09-03
湖南三力信息技术有限公司,数据产品经理,长沙-芙蓉区,5-8千/月,09-03
上海康培科技有限公司,数据产品经理,上海,1.5-2万/月,09-03
北京万向通汇投资有限公司,数据产品经理,北京-丰台区,0.9-1.5万/月,09-03
深圳市沃星实业有限公司,数据产品经理,深圳-福田区,6-8千/月,09-03
亮风台（上海）信息科技有限公司,数据产品经理,上海-浦东新区,2-3万/月,09-03
四川华雁信息产业股份有限公司,数据产品经理,成都-高新区,1-2万/月,09-03
上海极吼吼信息技术有限公司,数据产品经理,上海-长宁区,0.6-1万/月,09-03
顺便信息科技（广东）有限公司,数据产品经理,广州,0.6-1万/月,09-03
深圳市致道景观有限公司,数据产品经理,南京-秦淮区,4.5-6千/月,09-03
湖北美驿天程信息服务有限公司,数据产品经理,武汉-江夏区,3-5千/月,09-03
上海德拓信息技术股份有限公司,数据产品经理,北京-朝阳区,0.7-1.2万/月,09-03
东莞市泰泽服饰有限公司,数据产品经理,东莞-虎门镇,4.5-6千/月,09-03
湖南爱运动体育用品有限公司,数据产品经理,长沙,4.5-6千/月,09-03
上海中梁地产集团有限公司,数据产品经理,连云港,6-8万/年,09-03
深圳市赢时胜信息技术股份有限公司...,数据产品经理,上海-浦东新区,1-1.8万/月,09-03
露乐健康科技（广州）有限公司,数据产品经理,广州-天河区,0.8-1.5万/月,09-03
凯丹置地（成都）资产管理有限公司...,数据产品经理,大连-中山区,0.8-1万/月,09-03
广州舜飞信息科技有限公司,数据产品经理,深圳-南山区,1.5-2.5万/月,09-03
颖通（上海）贸易有限公司,数据产品经理,上海-闵行区,1-2万/月,09-03
上海二三四五网络科技有限公司,数据产品经理,上海-浦东新区,1-1.5万/月,09-03
南京薏凡特体育发展有限公司,数据产品经理,南京-建邺区,1-1.5万/月,09-03
湖南机械之家信息科技有限公司,数据产品经理,长沙-岳麓区,6-9千/月,09-03
西安佳帮手日用品有限公司,数据产品经理,西安-灞桥区,0.6-1万/月,09-03
上海纳觅财务咨询有限公司,数据产品经理,上海,5-7千/月,09-03
久久丫,数据产品经理,广州,4.5-6千/月,09-03
联想百应（天津）科技有限公司,数据产品经理,成都-高新区,4-5千/月,09-03
上海金指软件技术有限公司,数据产品经理,上海-浦东新区,1.2-1.8万/月,09-03
