country,confirm,heal,dead,healRate,deadRate
乌干达,1025,972,0,94.83,0.00
新加坡,45961,42285,26,92.00,0.06
卡塔尔,103598,99743,147,96.28,0.14
尼泊尔,16801,8589,38,51.12,0.23
卢旺达,1337,684,4,51.16,0.30
巴林,32941,28425,108,86.29,0.33
哥斯达黎加,7596,2239,30,29.48,0.39
斯里兰卡,2617,1981,11,75.70,0.42
乌兹别克斯坦,12997,7852,60,60.41,0.46
阿曼,56015,36098,257,64.44,0.46
