nation,day,day7,rate
黑山,1221,781,56.34
哥斯达黎加,7596,4996,52.04
马达加斯加,4867,3250,49.75
巴勒斯坦,6230,4341,43.52
南非,276242,196750,40.40
吉尔吉斯斯坦,10629,7691,38.20
津巴布韦,985,716,37.57
利比亚,1433,1046,37.00
斯威士兰,1351,988,36.74
马拉维,2364,1742,35.71
