date,confirm,dead,heal,newAddConfirm,deadRate,healRate
06.03,2735638,172487,927857,93241,6.31,33.92
06.04,2756610,173571,970553,129280,6.30,35.21
06.05,2779212,174607,994135,118515,6.28,35.77
06.06,2821187,175825,1020529,127944,6.23,36.17
06.07,2844355,176532,1033578,136400,6.21,36.34
06.08,2863500,176906,1043591,131291,6.18,36.44
06.09,2882711,177492,1055363,108914,6.16,36.61
06.10,2902016,178585,1070745,105618,6.15,36.90
06.11,2923182,179567,1090377,128408,6.14,37.30
06.12,2946909,180471,1097969,136565,6.12,37.26
06.13,2974632,181262,1123817,142660,6.09,37.78
06.14,3000330,181964,1141795,137468,6.06,38.06
06.15,3020657,182295,1151933,132532,6.03,38.14
06.16,3041560,182720,1171749,118457,6.01,38.52
06.17,3067229,183569,1184924,119715,5.98,38.63
06.18,3094911,184378,1201935,181196,5.96,38.84
06.19,3123420,185125,1212877,142414,5.93,38.83
06.20,3157266,187023,1237944,138950,5.92,39.21
06.21,3191017,187603,1254824,182993,5.88,39.32
06.22,3217430,187871,1262238,152302,5.84,39.23
06.23,3249158,188235,1284812,133274,5.79,39.54
06.24,3285421,189099,1302264,135184,5.76,39.64
06.25,3324858,189909,1322488,167035,5.71,39.78
06.26,3366575,192411,1334176,176983,5.72,39.63
06.27,3415362,193279,1350586,179292,5.66,39.54
06.28,3459507,193794,1363320,189059,5.60,39.41
06.29,3500348,194081,1375339,178314,5.54,39.29
06.30,3545282,195005,1399060,163842,5.50,39.46
07.01,3591625,195778,1425217,163934,5.45,39.68
07.02,3644113,196462,1446563,176071,5.39,39.70
07.03,3700288,197154,1472974,175708,5.33,39.81
07.04,3755634,197787,1517371,212317,5.27,40.40
07.05,3800816,198004,1542288,203817,5.21,40.58
07.06,3847974,198255,1571447,202531,5.15,40.84
07.07,3907123,198668,1606830,172487,5.08,41.13
07.08,3963715,199665,1636746,168936,5.04,41.29
07.09,4025946,200559,1674562,204934,4.98,41.59
07.10,4087556,201524,1708311,228056,4.93,41.79
07.11,4160195,202375,1742378,219941,4.86,41.88
07.12,4224055,203106,1771303,230335,4.81,41.93
07.13,4282404,203486,1798967,0,4.75,42.01
