country,confirm,heal,dead,healRate,deadRate
荷兰,51237,193,6156,0.38,12.01
英国,291154,1378,44904,0.47,15.42
瑞典,74898,4971,5526,6.64,7.38
洪都拉斯,27583,2901,771,10.52,2.80
危地马拉,29355,4214,1219,14.36,4.15
巴勒斯坦,6230,942,36,15.12,0.58
马拉维,2364,557,38,23.56,1.61
利比亚,1433,341,39,23.80,2.72
菲律宾,54222,14037,1372,25.89,2.53
黑山,1221,325,23,26.62,1.88
