country,confirm,heal,dead,healRate,deadRate
冰岛,1896,1865,10,98.36,0.53
马来西亚,8718,8519,122,97.72,1.40
新西兰,1544,1497,22,96.96,1.42
卡塔尔,103598,99743,147,96.28,0.14
泰国,3217,3088,58,95.99,1.80
乌干达,1025,972,0,94.83,0.00
吉布提,4972,4712,56,94.77,1.13
爱沙尼亚,2014,1895,69,94.09,3.43
丹麦,13147,12278,609,93.39,4.63
芬兰,7294,6800,329,93.23,4.51
