country,confirm,heal,dead,healRate,deadRate
也门,1465,659,417,44.98,28.46
比利时,62606,17196,9782,27.47,15.62
英国,291154,1378,44904,0.47,15.42
法国,208015,78513,30007,37.74,14.43
意大利,243061,194928,34954,80.20,14.38
匈牙利,4234,3036,595,71.71,14.05
荷兰,51237,193,6156,0.38,12.01
墨西哥,295268,229856,34730,77.85,11.76
西班牙,300988,196958,28403,65.44,9.44
加拿大,109348,72954,8829,66.72,8.07
