地区,现有确诊,累计确诊,疑似,死亡,死亡率,治愈,治愈率
内蒙古,7,245,0,1,0.41,237,96.73
境外输入,7,168,0,0,0.00,161,95.83
呼伦贝尔,0,9,0,0,0.00,9,100.00
包头,0,11,0,0,0.00,11,100.00
呼和浩特,0,7,0,0,0.00,7,100.00
乌兰察布,0,3,0,0,0.00,3,100.00
锡林郭勒,0,9,0,0,0.00,9,100.00
赤峰,0,9,0,0,0.00,9,100.00
通辽,0,7,0,0,0.00,7,100.00
鄂尔多斯,0,11,0,0,0.00,11,100.00
巴彦淖尔,0,8,0,1,12.50,7,87.50
兴安盟,0,1,0,0,0.00,1,100.00
乌海,0,2,0,0,0.00,2,100.00
